alpha,Ma,V,rho,T,CA,CN,Cm
0.0,2.09,472,4.634E-03,190.2,1.368E+00,0.000E-00,0.000E-00
0.0,3.00,679,3.834E-03,189.9,1.475E+00,0.000E-00,0.000E-00
0.0,3.95,892,3.834E-03,189.9,1.531E+00,0.000E-00,0.000E-00
0.0,4.82,1089,3.802E-03,189.7,1.563E+00,0.000E-00,0.000E-00
0.0,5.83,1317,3.776E-03,189.6,1.588E+00,0.000E-00,0.000E-00
6.0,2.09,472,4.634E-03,190.2,1.359E+00,1.460E-02,-1.415E-02
6.0,3.00,679,3.834E-03,189.9,1.464E+00,1.478E-02,-1.416E-02
6.0,3.95,892,3.834E-03,189.9,1.519E+00,1.455E-02,-1.373E-02
6.0,4.82,1089,3.802E-03,189.7,1.551E+00,1.409E-02,-1.305E-02
6.0,5.83,1317,3.776E-03,189.6,1.576E+00,1.362E-02,-1.238E-02
11.0,2.09,472,4.634E-03,190.2,1.337E+00,2.667E-02,-2.579E-02
11.0,3.00,679,3.834E-03,189.9,1.439E+00,2.701E-02,-2.577E-02
11.0,3.95,892,3.834E-03,189.9,1.490E+00,2.672E-02,-2.503E-02
11.0,4.82,1089,3.802E-03,189.7,1.518E+00,2.626E-02,-2.413E-02
11.0,5.83,1317,3.776E-03,189.6,1.538E+00,2.609E-02,-2.350E-02
16.0,2.09,472,4.634E-03,190.2,1.302E+00,3.868E-02,-3.726E-02
16.0,3.00,679,3.834E-03,189.9,1.395E+00,3.953E-02,-3.748E-02
16.0,3.95,892,3.834E-03,189.9,1.436E+00,4.035E-02,-3.751E-02
16.0,4.82,1089,3.802E-03,189.7,1.454E+00,4.185E-02,-3.839E-02
16.0,5.83,1317,3.776E-03,189.6,1.464E+00,4.373E-02,-3.985E-02
20.0,2.09,472,4.634E-03,190.2,1.264E+00,4.836E-02,-4.637E-02
20.0,3.00,679,3.834E-03,189.9,1.344E+00,5.053E-02,-4.761E-02
20.0,3.95,892,3.834E-03,189.9,1.371E+00,5.390E-02,-5.002E-02
20.0,4.82,1089,3.802E-03,189.7,1.383E+00,5.693E-02,-5.250E-02
20.0,5.83,1317,3.776E-03,189.6,1.391E+00,5.959E-02,-5.479E-02
